0,1
0,2
3,4
3,5
3,6
3,7
3,6
3,8
3,6
3,4
3,8
3,5
3,6
3,7
3,2
3,4
6,3
6,4
6,8
6,5
6,6
6,7
6,2
6,4
9,3
9,6
9,4
9,8
9,5
9,6
9,7
9,2
9,4
7,3
7,6
7,4
7,8
7,5
7,6
7,2
7,4
10,3
10,6
10,4
10,8
10,5
10,6
10,7
10,2
10,4
11,12
11,3
11,6
11,4
11,8
11,5
11,6
11,7
11,2
11,4
8,3
8,6
8,4
8,5
8,6
8,7
8,2
8,4
13,3
13,6
13,4
13,8
13,5
13,6
13,7
13,2
13,4
14,15
14,3
14,6
14,4
14,8
14,5
14,6
14,7
14,2
14,4
15,3
15,6
15,4
15,8
15,5
15,6
15,7
15,2
15,4
16,17
16,3
16,6
16,4
16,8
16,5
16,6
16,7
16,2
16,4
18,3
18,6
18,4
18,8
18,5
18,6
18,7
18,2
18,4
19,4
19,2
19,3
19,6
19,4
19,8
19,5
19,6
19,7
19,20
5,21
5,3
5,6
5,4
5,8
5,6
5,7
5,2
5,4
22,6
22,4
22,8
22,5
22,6
22,7
22,23
22,2
22,4
4,6
21,6
21,4
21,8
21,5
21,6
21,7
21,2
21,4
