0,1
0,2
3,4
3,5
5,3
5,6
7,8
7,8
6,5
6,9
10,6
10,2
8,7
8,6
8,5
2,11
2,4
2,12
2,2
2,13
2,14
2,15
2,16
17,18
17,18
17,2
17,4
17,12
13,19
12,2
20,2
14,20
14,2
16,21
16,2
21,22
21,16
11,23
11,2
23,11
15,2
24,25
24,2
25,2
25,26
26,2
26,27
28,24
28,2
27,29
27,30
27,2
31,32
31,2
33,34
33,2
35,28
35,2
34,31
34,2
36,2
36,33
37,2
37,36
32,35
32,2
30,29
30,2
29,2
29,2
1,38
1,39
1,40
38,1
38,1
39,1
40,1
4,3
4,2
9,2
9,2
9,2
9,6
