0,1
0,2
0,3
0,4
5,6
5,4
2,7
2,5
2,8
2,9
2,10
2,11
2,12
2,13
2,14
2,15
4,1
4,11
4,2
4,3
10,16
10,17
10,16
10,16
18,19
9,20
6,3
6,1
6,2
1,21
1,22
1,15
1,11
1,23
1,24
1,25
1,26
1,27
1,28
1,29
1,30
25,6
25,4
28,31
30,32
3,33
3,19
3,34
3,35
3,11
3,36
3,37
3,15
3,38
39,6
39,4
37,22
37,24
37,21
37,25
37,29
37,27
37,28
37,26
33,8
33,10
33,14
33,9
33,5
33,12
19,40
19,40
34,41
34,42
34,41
34,43
34,41
34,44
35,45
35,46
35,33
38,47
38,47
36,48
