0,1
2,3
2,4
5,3
5,2
1,3
1,4
3,6
3,4
3,7
3,8
3,9
3,10
3,11
3,12
3,13
3,14
3,15
3,16
3,3
3,11
3,11
3,17
3,18
19,3
19,3
19,3
19,20
21,3
22,3
22,3
22,22
4,3
4,23
23,3
23,24
17,3
9,25
26,27
26,9
26,28
26,29
29,20
29,11
29,27
29,9
29,28
29,27
29,27
29,9
30,9
30,9
30,17
31,3
31,32
31,3
33,34
13,35
36,18
37,8
37,8
37,8
8,38
8,8
8,20
39,40
41,39
42,27
42,9
42,28
6,9
18,43
18,27
18,9
44,18
7,8
7,44
14,3
14,3
15,36
24,23
45,46
46,9
25,47
48,34
49,27
